view_id,user_id,show_id,duration_watched,watch_date,completion_percentage
V000001,U01725,S0589,192.0,2024-01-02,62.0
V000002,U01956,S0161,500.0,2024-07-11,31.0
V000003,U00491,S0379,500.0,2025-12-06,28.0
V000004,U01384,S0710,161.0,2024-03-08,15.0
V000005,U01257,S0920,25.0,2024-03-14,30.0
V000006,U01598,S0559,143.0,2024-01-09,24.0
V000007,U00999,S0388,201.0,2024-07-14,22.0
V000008,U00059,S0786,183.0,2024-05-06,79.0
V000009,U01802,S0578,500.0,2024-03-02,56.0
V000010,U01737,S0158,163.0,2024-01-02,41.0
V000011,U01491,S0580,124.0,2024-03-12,85.0
V000012,U01267,S0962,500.0,2025-01-25,56.0
V000013,U00056,S0758,500.0,2024-06-07,54.0
V000014,U00734,S0440,500.0,2024-03-10,65.0
V000015,U01483,S0732,31.0,2024-12-18,46.0
V000016,U01779,S0250,500.0,2025-01-10,45.0
V000017,U01928,S0620,184.0,2024-03-27,59.0
V000018,U00829,S0882,68.0,2025-04-05,30.0
V000019,U00750,S0380,163.0,2024-08-02,97.0
V000020,U01108,S0724,134.0,2024-04-22,24.0
V000021,U00207,S0561,500.0,2025-04-30,50.0
V000022,U00997,S0751,115.0,2025-01-20,69.0
V000023,U00220,S0344,30.0,2024-01-28,47.0
V000024,U01619,S0484,500.0,2024-06-10,48.0
V000025,U00175,S0473,500.0,2024-07-28,24.0
V000026,U00006,S0520,219.0,2024-03-12,98.0
V000027,U00987,S0651,19.0,2025-05-21,41.0
V000028,U01666,S0460,500.0,2024-06-08,55.0
V000029,U00448,S0683,500.0,2024-06-02,75.0
V000030,U00112,S0164,33.0,2024-05-20,62.0
V000031,U00194,S0809,19.0,2024-12-10,56.0
V000032,U00528,S0736,153.0,2025-06-02,96.0
V000033,U01864,S0699,16.0,2024-08-28,56.0
V000034,U01154,S0278,500.0,2025-01-30,92.0
V000035,U01860,S0122,500.0,2024-06-26,35.0
V000036,U01895,S0187,119.0,2024-08-26,54.0
V000037,U00538,S0028,197.0,2024-06-12,59.0
V000038,U01979,S0505,500.0,2024-02-16,93.0
V000039,U00377,S0816,60.0,2024-04-02,73.0
V000040,U01499,S0406,188.0,2024-05-25,80.0
