show_id,title,genre,language,release_year,content_type,season,episode
S0001,Pushpa ,Drama,Telugu,2021,Series,1,3
S0002,Hi Nanna,Thriller,Tamil,2025,Movie,1,1
S0003,Master,Action,Telugu,2024,Movie,1,1
S0004,Good Night,Action,Telugu,2019,Movie,1,1
S0005,Master,Action,Telugu,2022,Movie,1,1
S0006,Leo,Action,Tamil,2019,Series,1,7
S0007,Good Night,Drama,Tamil,2024,Movie,1,1
S0008,Jailer,Action,Tamil,2023,Movie,1,1
S0009,Leo,Action,Telugu,2019,Movie,1,1
S0010,Master,Action,Telugu,2019,Movie,1,1
S0011,Good Night,Action,Telugu,2021,Series,1,1
S0012,Leo,Action,Tamil,2020,Movie,1,1
S0013,Hi Nanna,Romance,Telugu,2021,Movie,1,1
S0014,Suzhal,Action,Telugu,2022,Movie,1,1
S0015,Good Night,Comedy,Telugu,2021,Movie,1,1
S0016,Hi Nanna,Action,Tamil,2021,Series,2,3
S0017,Suzhal,Action,Telugu,2025,Movie,1,1
S0018,RRR,Thriller,Tamil,2019,Movie,1,1
S0019,Leo,Action,Tamil,2019,Movie,1,1
S0020,Suzhal ,Comedy,Telugu,2025,Movie,1,1
S0021,Vikram,Action,Tamil,2020,Series,2,7
S0022,Suzhal,Thriller,Telugu,2022,Movie,1,1
S0023,Pushpa ,Comedy,Telugu,2023,Movie,1,1
S0024,Pushpa,Romance,Telugu,2022,Movie,1,1
S0025,Jailer,Action,Telugu,2020,Movie,1,1
S0026,Vikram,Action,Telugu,2020,Series,1,7
S0027,Pushpa,Action,Tamil,2020,Movie,1,1
S0028,Jailer,Comedy,Telugu,2019,Movie,1,1
S0029,Vikram,Action,Telugu,2025,Movie,1,1
S0030,Master,Romance,Telugu,2020,Movie,1,1
S0031,Master,Thriller,Tamil,2021,Series,2,1
S0032,Save the Tigers,Action,Telugu,2022,Movie,1,1
S0033,Leo ,Thriller,Telugu,2021,Movie,1,1
S0034,Vikram,Action,Tamil,2019,Movie,1,1
S0035,Save the Tigers ,Drama,Telugu,2021,Movie,1,1
S0036,Vikram,Action,Telugu,2018,Series,2,8
S0037,Vikram,Comedy,Tamil,2020,Movie,1,1
S0038,Vikram,Drama,Telugu,2020,Movie,1,1
S0039,Vikram,Drama,Telugu,2021,Movie,1,1
S0040,Suzhal ,Romance,Telugu,2025,Movie,1,1
S0041,Good Night,Action,Telugu,2023,Series,1,1
S0042,Leo,Comedy,Telugu,2025,Movie,1,1
S0043,Master ,Drama,Tamil,2024,Movie,1,1
S0044,Pushpa ,Action,Tamil,2018,Movie,1,1
S0045,Leo,Drama,Tamil,2024,Movie,1,1
S0046,Suzhal,Comedy,Tamil,2022,Series,2,3
S0047,Pushpa,Action,Tamil,2025,Movie,1,1
S0048,Jailer,Comedy,Telugu,2021,Movie,1,1
S0049,Vikram,Comedy,Telugu,2024,Movie,1,1
S0050,Hi Nanna,Action,Telugu,2024,Movie,1,1
