user_id,join_date,plan_type,subscription_status,cancel_date,last_login_date
U00001,2024-05-18,Premimum,Active,---,2025-05-10
U00002,2024-06-13,Standard,Active,---,2024-06-20
U00003,2023-04-06,Basic,Active,---,2023-08-22
U00004,2024-09-27,Standard,Cancelled,2025-09-03,2024-09-30
U00005,2024-12-20,Standard,Cancelled,2025-11-10,2025-09-15
U00006,2022-08-22,Premium,Active,---,2022-09-06
U00007,2023-01-19,Mobile,Active,---,2023-07-06
U00008,2023-04-24,Standard,Active,---,2023-08-24
U00009,2022-02-19,Premium,Cancelled,2022-09-15,2022-04-26
U00010,2025-02-16,Premimum,Active,---,2025-09-22
U00011,2024-11-02,Standard,Active,---,2024-02-12
U00012,2022-09-19,Premium,Active,---,2023-07-11
U00013,2022-03-11,Standrd,Cancelled,2023-06-14,2023-01-03
U00014,2024-07-13,Standard,Active,---,2024-10-24
U00015,2023-02-19,Premimum,Active,---,2023-03-17
U00016,2022-09-24,Premium,Active,---,2023-09-17
U00017,2022-02-16,Mobile,Active,---,2022-08-03
U00018,2022-06-30,Basic,Cancelled,2023-03-03,2022-10-25
U00019,2023-06-25,Premimum,Active,---,2023-09-03
U00020,2023-08-03,Basic,Active,---,2023-04-10
U00021,2024-09-12,Standard,Active,---,2025-07-18
U00022,2023-01-14,Premimum,Active,---,2023-04-20
U00023,2022-09-27,Mobile,Active,---,2023-06-17
U00024,2023-06-01,Premimum,Active,---,2024-05-01
U00025,2022-08-20,Mobile,Cancelled,2023-01-05,2022-10-17
U00026,2022-03-06,Basic,Active,---,2022-10-01
U00027,2022-02-25,Premium,Cancelled,2022-12-16,2022-04-11
U00028,2024-06-21,Mobile,Cancelled,2024-10-19,2024-09-14
U00029,2025-02-03,Standard,Active,---,2025-09-11
U00030,2023-03-06,Premimum,Cancelled,2024-04-26,2024-03-27
U00031,2025-02-26,Standard,Active,---,2026-01-04
U00032,2022-01-10,Premium,Active,---,2023-09-04
U00033,2023-06-30,Standrd,Active,---,2023-12-02
U00034,2024-08-22,Premimum,Cancelled,2025-04-02,2024-10-17
U00035,2022-03-03,Mobile,Active,---,2022-03-24
U00036,2025-03-30,Standrd,Active,---,2025-11-08
U00037,2023-09-11,Standard,Cancelled,2024-07-23,2023-12-11
U00038,2023-04-04,Basic,Active,---,2023-05-10
U00039,2022-06-28,Mobile,Active,---,2022-08-29
U00040,2022-04-21,Standrd,Active,---,2022-11-13
U00041,2023-03-04,Standrd,Active,---,2023-07-19
U00042,2022-03-20,Mobile,Cancelled,2022-10-01,2022-05-13
U00043,2022-01-19,Standrd,Cancelled,2022-03-29,2022-01-21
U00044,2025-02-27,Standard,Active,---,2025-10-07
U00045,2025-03-29,Standrd,Active,---,2026-01-16
U00046,2024-08-15,Premimum,Cancelled,2024-12-08,2024-08-28
U00047,2023-04-30,Premium,Active,---,2024-03-22
U00048,2022-06-01,Mobile,Active,---,2022-05-28
U00049,2023-07-07,Basic,Active,---,2024-05-17
U00050,2022-03-24,Premium,Active,---,2022-12-04
U00051,2023-02-05,Premimum,Cancelled,2023-09-14,2023-06-03
U00052,2022-12-05,Mobile,Active,---,2023-03-06
U00053,2022-08-16,Standard,Cancelled,2023-05-05,2023-05-05
U00054,2023-05-21,Premium,Active,---,2023-09-18
U00055,2023-04-25,Standrd,Active,---,2023-06-26
U00056,2022-11-15,Premimum,Cancelled,2023-04-03,2023-03-17
U00057,2022-09-11,Basic,Active,---,2023-08-08
U00058,2022-11-13,Basic,Active,---,2023-07-09
U00059,2024-10-31,Standard,Active,---,2025-10-29
U00060,2022-06-30,Standrd,Active,---,2023-06-12
U00061,2024-05-02,Basic,Cancelled,2024-11-06,2024-07-11
U00062,2022-07-04,Standrd,Active,---,2023-01-12
U00063,2024-04-24,Basic,Active,---,2025-01-14
U00064,2022-05-12,Premium,Cancelled,2022-08-31,2022-08-20
U00065,2023-12-28,Standard,Cancelled,2024-10-21,2024-04-27
U00066,2022-09-06,Standrd,Active,---,2023-02-14
U00067,2024-04-11,Premium,Cancelled,2024-12-21,2024-11-17
U00068,2022-07-04,Mobile,Active,---,2023-02-12
U00069,2022-10-14,Mobile,Active,---,2023-06-22
U00070,2024-04-20,Mobile,Active,---,2024-09-16
U00071,2023-01-29,Standard,Active,---,2023-12-22
U00072,2023-08-07,Basic,Active,---,2024-06-22
U00073,2022-06-27,Standard,Active,---,2022-12-31
U00074,2023-12-18,Standard,Cancelled,2024-05-25,2024-02-10
U00075,2022-11-07,Standrd,Active,---,2022-12-29
U00076,2023-09-29,Basic,Active,---,2024-05-03
U00077,2025-01-13,Standrd,Active,---,2025-05-21
U00078,2025-01-03,Premium,Active,---,2026-02-03
U00079,2022-10-06,Standrd,Cancelled,2023-03-14,2022-08-18
U00080,2023-08-18,Standard,Active,---,2024-08-07
U00081,2024-02-21,Standrd,Cancelled,2024-06-19,2024-05-15
U00082,2025-03-27,Premium,Active,---,2025-07-02
U00083,2022-07-18,Mobile,Active,---,2022-10-16
U00084,2024-02-28,Mobile,Active,---,2024-12-26
U00085,2022-10-17,Standard,Cancelled,2023-10-09,2023-05-07
U00086,2023-10-22,Standard,Active,---,2024-03-31
U00087,2023-12-02,Standard,Cancelled,2023-10-29,2023-03-12
U00088,2022-06-10,Standrd,Active,---,2023-08-25
U00089,2025-04-05,Standrd,Active,---,2025-12-03
U00090,2022-05-25,Premium,Active,---,2023-02-05
U00091,2025-02-18,Standrd,Active,---,2025-11-19
U00092,2022-03-24,Standard,Cancelled,2022-07-02,2022-05-01
U00093,2022-01-27,Standrd,Cancelled,2022-08-16,2022-07-21
U00094,2024-08-14,Standrd,Active,---,2025-02-18
U00095,2025-04-12,Standard,Cancelled,2026-02-05,2025-09-02
U00096,2024-10-11,Premimum,Active,---,2025-06-04
U00097,2023-08-12,Basic,Cancelled,2024-04-12,2024-02-16
U00098,2023-08-20,Mobile,Cancelled,2023-11-05,2023-10-23
U00099,2024-01-18,Premimum,Active,---,2024-09-20
U00100,2025-01-03,Premium,Cancelled,2025-10-01,2025-03-13
U00101,2024-07-19,Basic,Active,---,2025-06-24
U00102,2022-01-22,Standrd,Cancelled,2022-06-05,2022-04-30
U00103,2022-08-28,Standard,Cancelled,2023-01-29,2022-11-30
U00104,2025-05-01,Premimum,Active,---,2025-04-16
U00105,2024-10-14,Basic,Active,---,2025-06-29
U00106,2024-05-06,Mobile,Active,---,2025-04-03
U00107,2022-01-29,Basic,Cancelled,2023-01-23,2023-01-16
U00108,2023-07-03,Standrd,Active,---,2024-01-27
U00109,2025-02-11,Premimum,Active,---,2025-09-03
U00110,2022-06-06,Basic,Active,---,2022-10-27
U00111,2023-08-16,Standrd,Active,---,2024-03-01
U00112,2024-05-18,Premium,Cancelled,2025-03-17,2024-05-18
U00113,2023-10-19,Standrd,Active,---,2024-08-28
U00114,2022-02-10,Premium,Active,---,2022-11-20
U00115,2024-12-18,Mobile,Active,---,2025-05-29
U00116,2025-02-19,Premimum,Active,---,2025-09-15
U00117,2022-04-19,Standard,Active,---,2022-06-01
U00118,2022-07-18,Premimum,Active,---,2022-09-06
U00119,2023-10-10,Standard,Active,---,2023-11-16
U00120,2024-07-01,Basic,Active,---,2024-12-22
U00121,2022-03-15,Standard,Active,---,2022-09-19
U00122,2023-04-21,Standard,Cancelled,2023-09-08,2023-06-01
U00123,2023-05-02,Standard,Active,---,2023-09-02
U00124,2022-02-26,Mobile,Active,---,2022-07-16
U00125,2025-04-14,Mobile,Active,---,2025-12-18
U00126,2025-02-09,Premimum,Active,---,2025-07-10
U00127,2024-12-03,Mobile,Active,---,2024-05-04
U00128,2022-06-08,Premimum,Cancelled,2022-12-27,2022-11-07
U00129,2023-01-31,Standard,Cancelled,2024-01-25,2023-09-20
U00130,2023-09-29,Premium,Active,---,2023-11-14
U00131,2022-07-07,Standard,Active,---,2022-10-12
U00132,2022-02-12,Standard,Cancelled,2023-02-18,2023-01-21
U00133,2024-11-13,Premium,Cancelled,2025-10-28,2024-11-18
U00134,2023-05-25,Basic,Active,---,2023-10-29
U00135,2023-02-03,Standrd,Active,---,2023-07-28
U00136,2023-07-31,Premium,Active,---,2024-03-01
U00137,2022-05-23,Standard,Cancelled,2022-11-02,2022-09-27
U00138,2024-10-25,Standard,Active,---,2025-08-20
U00139,2023-07-19,Premium,Active,---,2023-12-24
U00140,2023-01-04,Premium,Cancelled,2024-03-30,2024-03-05
U00141,2024-04-25,Mobile,Active,---,2025-03-01
U00142,2023-10-28,Standard,Cancelled,2024-06-20,2023-11-28
U00143,2023-04-26,Basic,Active,---,2023-05-28
U00144,2023-12-20,Premium,Active,---,2024-06-26
U00145,2024-11-07,Mobile,Cancelled,2025-05-13,2025-01-18
U00146,2022-08-07,Premimum,Active,---,2023-06-10
U00147,2023-09-16,Basic,Cancelled,2024-01-24,2023-10-22
U00148,2024-10-13,Standard,Cancelled,2024-12-19,2024-12-11
U00149,2023-09-15,Premimum,Active,---,2023-09-25
U00150,2025-01-11,Standard,Active,---,2025-03-05
U00151,2022-02-11,Premimum,Active,---,2023-01-12
U00152,2024-12-29,Standrd,Active,---,2025-01-01
U00153,2024-03-19,Basic,Cancelled,2024-06-27,2024-06-27
U00154,2022-06-16,Standrd,Cancelled,2022-11-13,2022-10-31
U00155,2022-09-01,Standard,Active,---,2022-12-30
U00156,2023-07-21,Mobile,Active,---,2024-03-13
U00157,2023-05-24,Premium,Active,---,2023-11-05
U00158,2024-12-26,Premium,Active,---,2025-07-01
U00159,2022-03-08,Premimum,Active,---,2023-02-23
U00160,2024-06-06,Mobile,Active,---,2024-07-30
U00161,2023-12-22,Premimum,Cancelled,2024-11-20,2024-10-28
U00162,2023-09-09,Basic,Active,---,2024-06-25
U00163,2023-08-29,Premium,Cancelled,2024-08-17,2023-08-29
U00164,2025-02-03,Standard,Active,---,2025-05-01
U00165,2023-05-17,Basic,Active,---,2023-10-25
U00166,2022-03-18,Standrd,Active,---,2022-04-15
U00167,2024-08-21,Premimum,Cancelled,2024-10-28,2024-10-10
U00168,2024-11-08,Premimum,Active,---,2024-11-12
U00169,2024-03-13,Basic,Active,---,2024-07-09
U00170,2023-04-14,Premium,Active,---,2023-10-04
U00171,2025-03-26,Mobile,Cancelled,2026-01-12,2025-08-17
U00172,2025-02-14,Premium,Active,---,2025-03-31
U00173,2022-02-17,Mobile,Active,---,2022-10-13
U00174,2024-09-25,Standrd,Active,---,2024-11-25
U00175,2024-09-24,Premium,Active,---,2025-02-10
U00176,2022-01-29,Mobile,Active,---,2022-02-26
U00177,2023-06-30,Mobile,Cancelled,2024-06-26,2024-01-24
U00178,2022-11-28,Premium,Cancelled,2023-08-26,2023-04-12
U00179,2024-03-28,Premium,Cancelled,2024-12-13,2024-10-08
U00180,2022-01-07,Standard,Active,---,2023-04-21
U00181,2023-03-24,Premium,Active,---,2024-02-15
U00182,2024-10-15,Premimum,Cancelled,2025-08-23,2025-01-24
U00183,2025-02-01,Premium,Active,---,2025-12-02
U00184,2023-07-28,Mobile,Active,---,2024-07-15
U00185,2023-09-27,Basic,Active,---,2023-12-22
U00186,2023-12-18,Standard,Active,---,2024-04-14
U00187,2022-02-21,Mobile,Active,---,2022-11-15
U00188,2023-01-23,Basic,Active,---,2023-04-09
U00189,2023-04-13,Basic,Active,---,2024-03-18
U00190,2022-04-17,Standard,Active,---,2022-11-12
U00191,2024-08-07,Basic,Active,---,2024-12-30
U00192,2023-07-20,Standard,Active,---,2024-02-11
U00193,2023-11-22,Standrd,Active,---,2024-02-07
U00194,2023-01-05,Premium,Active,---,2023-04-26
U00195,2025-08-01,Standrd,Active,---,2025-07-10
U00196,2024-12-17,Premimum,Active,---,2025-07-07
U00197,2024-01-08,Premimum,Active,---,2024-12-22
U00198,2022-08-14,Mobile,Cancelled,2023-05-26,2023-03-30
U00199,2023-01-10,Premium,Active,---,2024-08-30
U00200,2023-02-20,Premimum,Active,---,2023-08-08
U00201,2023-11-18,Premimum,Active,---,2024-02-27
U00202,2024-12-21,Standard,Active,---,2025-07-19
U00203,2022-10-09,Premium,Active,---,2022-11-08
U00204,2022-07-18,Premium,Cancelled,2023-06-25,2022-12-02
U00205,2024-05-12,Mobile,Active,---,2025-05-06
U00206,2024-05-19,Standrd,Cancelled,2025-04-19,2024-07-04
U00207,2023-10-09,Standrd,Active,---,2023-11-14
U00208,2022-03-24,Premimum,Active,---,2022-03-25
U00209,2023-06-30,Mobile,Active,---,2023-07-18
U00210,2024-03-25,Standrd,Active,---,2024-09-18
U00211,2023-01-01,Premimum,Active,---,2023-02-01
U00212,2023-07-26,Basic,Cancelled,2024-07-06,2024-03-24
U00213,2023-12-15,Premium,Cancelled,2024-12-04,2024-08-22
U00214,2023-03-14,Standard,Cancelled,2023-11-16,2023-10-31
U00215,2022-10-23,Premium,Cancelled,2023-10-14,2022-11-21
U00216,2022-04-14,Premium,Active,---,2022-05-20
U00217,2024-02-12,Standrd,Cancelled,2024-05-17,2024-02-18
U00218,2025-09-04,Premimum,Active,---,2025-10-04
U00219,2023-03-16,Premimum,Active,---,2024-03-06
U00220,2023-08-20,Standard,Active,---,2023-10-05
U00221,2023-01-24,Standard,Active,---,2023-11-02
U00222,2023-10-06,Basic,Active,---,2024-06-19
U00223,2024-07-17,Mobile,Active,---,2024-10-21
U00224,2022-08-21,Standard,Active,---,2022-12-01
U00225,2024-03-25,Premium,Cancelled,2024-06-01,2024-05-09
